Item,Quantity,Use,Cost(thb)+shipping,Link
Top wooden/acrylic panel (40cm x 40cm),1,Surface people step on to create movement,215,https://shopee.co.th/%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B2%E0%B8%99-%E0%B8%AB%E0%B8%99%E0%B8%B2-16-%E0%B8%A1%E0%B8%B4%E0%B8%A5-%E0%B9%81%E0%B8%9C%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%97%E0%B8%B3%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%9C%E0%B8%99%E0%B8%B1%E0%B8%87-%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%82%E0%B8%95%E0%B9%8A%E0%B8%B0-%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%AA%E0%B8%A7%E0%B8%A2-DIY-Rubber-Wood-i.244439596.43022629611?extraParams=%7B%22display_model_id%22%3A159303715492%2C%22model_selection_logic%22%3A3%7D&sp_atk=39cdb71f-2a1e-4f0f-8d73-8e4997a31d23&xptdk=39cdb71f-2a1e-4f0f-8d73-8e4997a31d23
Bottom wooden base (40cm x 40cm),1,Fixed base that holds all components,215,https://shopee.co.th/%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B2%E0%B8%99-%E0%B8%AB%E0%B8%99%E0%B8%B2-16-%E0%B8%A1%E0%B8%B4%E0%B8%A5-%E0%B9%81%E0%B8%9C%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%97%E0%B8%B3%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%9C%E0%B8%99%E0%B8%B1%E0%B8%87-%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%82%E0%B8%95%E0%B9%8A%E0%B8%B0-%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%AA%E0%B8%A7%E0%B8%A2-DIY-Rubber-Wood-i.244439596.43022629611?extraParams=%7B%22display_model_id%22%3A159303715492%2C%22model_selection_logic%22%3A3%7D&sp_atk=39cdb71f-2a1e-4f0f-8d73-8e4997a31d23&xptdk=39cdb71f-2a1e-4f0f-8d73-8e4997a31d23
Springs set (medium stiffness),1,Allow vertical movement and return panel to position,310,https://shopee.co.th/-RL-%E0%B8%AA%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%94%E0%B8%B1%E0%B8%991.2%E0%B8%A1%E0%B8%A1.-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%A1%E0%B8%B5%E0%B8%AA%E0%B8%B2%E0%B8%A2-D-1.2%E0%B8%A1%E0%B8%A1.-OD-14-15-16-18-20-22%E0%B8%A1%E0%B8%A1.-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A2%E0%B8%B2%E0%B8%A710-100%E0%B8%AA%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B8%87%E0%B8%AD%E0%B8%B1%E0%B8%94304%E0%B8%AA%E0%B9%81%E0%B8%95%E0%B8%99%E0%B9%80%E0%B8%A5%E0%B8%AA-1.2-mm-Pressure-Spring-Compression-Springs-i.1431236511.24639831318?extraParams=%7B%22display_model_id%22%3A257340801813%2C%22model_selection_logic%22%3A3%7D&sp_atk=77bf9a9e-03a5-4671-b9e7-8c73954da330&xptdk=77bf9a9e-03a5-4671-b9e7-8c73954da330&is_from_login=true
DC Motor,1,Acts as generator to convert motion into electricity,100,https://shopee.co.th/DC-Motor-500-%E0%B8%A1%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C-3V-12V-%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87!!!-i.145695802.23436806254?extraParams=%7B%22display_model_id%22%3A118043783500%2C%22model_selection_logic%22%3A3%7D&sp_atk=e770fc36-5a6b-46ac-82c5-a3f33f22cebc&xptdk=e770fc36-5a6b-46ac-82c5-a3f33f22cebc
Strong string/thread,1,Connects top panel movement to motor shaft,50,https://shopee.co.th/%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99%E0%B9%83%E0%B8%AA-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99%E0%B8%81%E0%B9%88%E0%B8%AD%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%87-%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%99%E0%B9%84%E0%B8%99%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%99-%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C-40-50-80-100-120-i.173030820.9925533685?extraParams=%7B%22display_model_id%22%3A45335894845%2C%22model_selection_logic%22%3A3%7D&sp_atk=ae6789ae-f975-4d82-aa76-2d928716cd59&xptdk=ae6789ae-f975-4d82-aa76-2d928716cd59
Rubber band,1,Maintains tension and helps return motor shaft,90,https://shopee.co.th/%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B8%A2%E0%B8%B2%E0%B8%87-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%A3%E0%B8%B1%E0%B8%94%E0%B8%82%E0%B8%AD%E0%B8%87-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%99%E0%B8%B2-0.5-cm-(%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%84-50-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B9%81%E0%B8%A5%E0%B8%B0-100-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1)-rubber-band-%E0%B8%A1%E0%B8%B5%E0%B8%AB%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%AA%E0%B8%B5%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81-i.45354702.19920924865?extraParams=%7B%22display_model_id%22%3A285095977247%2C%22model_selection_logic%22%3A3%7D&sp_atk=9a9c7db8-2b6f-4111-80b4-3c8d38b39a76&xptdk=9a9c7db8-2b6f-4111-80b4-3c8d38b39a76
LED,10,Visual indicator that electricity is generated,230,https://shopee.co.th/%E0%B9%84%E0%B8%9F-LED-%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%84%E0%B8%9F-LED-3.7-5-9-12-V-i.222869690.22375741369?extraParams=%7B%22display_model_id%22%3A128845960395%2C%22model_selection_logic%22%3A3%7D&sp_atk=1c1d1053-c41d-4afc-97ee-a1ec82376ba4&xptdk=1c1d1053-c41d-4afc-97ee-a1ec82376ba4
Bridge Rectifier,2,Form bridge rectifier to control current direction,54,https://shopee.co.th/DB107-Bridge-Rectifier-1000V-1A-%E0%B9%84%E0%B8%94%E0%B9%82%E0%B8%AD%E0%B8%94%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%94-4%E0%B8%82%E0%B8%B2-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87-i.634411534.24583940447?extraParams=%7B%22display_model_id%22%3A241259236232%2C%22model_selection_logic%22%3A3%7D&sp_atk=d88a7f3a-b01d-4679-be74-25882b8b6691&xptdk=d88a7f3a-b01d-4679-be74-25882b8b6691
Capacitor (2200µF),5,Stores charge and smooths LED output,130,https://shopee.co.th/%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B8-%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%96%E0%B8%B5%E0%B9%88%E0%B8%AA%E0%B8%B9%E0%B8%87-16V-25V50V-Low-ESR-Capacitor-100uF-220uF-330uF-470uF-1000uF-2200uF-%E0%B8%84%E0%B8%A5%E0%B8%B0%E0%B8%A2%E0%B8%B5%E0%B9%88%E0%B8%AB%E0%B9%89%E0%B8%AD-105%E0%B8%AD%E0%B8%87%E0%B8%A8%E0%B8%B2-%E0%B9%80%E0%B8%AD%E0%B8%A5%E0%B8%99%E0%B9%88%E0%B8%B2-i.244243948.13597676518?extraParams=%7B%22display_model_id%22%3A213331839962%2C%22model_selection_logic%22%3A3%7D&sp_atk=36ad6ef4-9c59-4ab5-9241-47ff3d30369b&xptdk=36ad6ef4-9c59-4ab5-9241-47ff3d30369b
Connecting wires,1,Electrical connections between components,140,https://shopee.co.th/5M-30-28-26-24-22-20-18-16-AWG-UL1007-Electric-Wire-PVC-Insulated-Tinned-Copper-Cable-LED-Lamp-Lighting-Line-300V-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F-i.499304526.23958002092?extraParams=%7B%22display_model_id%22%3A148405411167%2C%22model_selection_logic%22%3A3%7D&sp_atk=eb11ec44-61df-4c20-ba21-2ed97a5b6f20&xptdk=eb11ec44-61df-4c20-ba21-2ed97a5b6f20
